pregunta;respuesta
¿EN QUÉ CONSISTE EL SERVICIO LÍNEA 100?;Brinda información, orientación, consejería y soporte emocional en quechua, aimara y castellano para las personas afectadas por hechos de violencia contra las mujeres y los integrantes del grupo familiar o que conozcan un caso. La llamada es gratuita al número 100, desde un teléfono fijo o celular desde cualquier parte del país. La Línea 100 funciona las 24 horas, todos los días de la semana.
¿EN QUÉ CONSISTE EL SERVICIO CENTROS EMERGENCIA MUJER (CEM)?;Son servicios públicos especializados y gratuitos, de atención integral y multidisciplinaria, para víctimas de violencia contra las mujeres y los integrantes del grupo familiar y personas afectadas por violencia sexual. Permite acceder a asesoría legal, contención emocional y apoyo social a nivel nacional. En todo el Perú, los 245 CEM regulares y un CEM en centro de salud (Santa Julia, Piura) atienden de lunes a viernes de 8:00 a. m. a 4:15 p. m., y los 185 CEM en comisarías, las 24 horas del día, los 365 días del año. Si deseas más información puedes llamar a la central telefónica (01) 4197260.
¿EN QUÉ CONSISTE EL SERVICIO CHAT 100?;Servicio personalizado por internet y en tiempo real, donde profesionales especializados brindan información y orientación psicológica para identificar situaciones de riesgo de violencia en las relaciones de enamoramiento y noviazgo. También, cuenta con especialistas que velan por la igualdad para la atención a varones. El Chat 100 es confidencial y se encuentra disponible las 24 horas.
¿EN QUÉ CONSISTE EL SERVICIO HOGAR DE REFUGIO TEMPORAL (HRT)?;Son espacios seguros y temporales que brindan protección, albergue, alimentación y atención integral (servicio de psicología, trabajo social, tópico-enfermería, educadora, acompañamiento permanente y talleres productivos) a mujeres víctimas de violencia de género, especialmente aquellas en situación de riesgo de feminicidio o peligre su integridad o salud física o mental, así como para sus hijas e hijos. Actualmente existen 23 HRT en 18 regiones del país.
¿QUÉ PRINCIPIOS GUÍAN LA ATENCIÓN EN LOS CENTROS EMERGENCIA MUJER (CEM)?;"•	La violencia familiar y sexual como vulneración de los derechos humanos.
•	La violencia familiar y sexual son expresión de la desigualdad de género y la discriminación hacia las mujeres.
•	La violencia familiar y sexual son un problema de salud pública.
•	La multicausalidad de la violencia requiere de un abordaje intersectorial.
•	El abordaje interdisciplinario de los casos.
•	La no revictimización.
•	La atención oportuna.
•	La interculturalidad y el respeto a la dignidad.
•	La confidencialidad y reserva de la información."
¿EN QUÉ CONSISTE EL PRINCIPIO DE VIOLENCIA FAMILIAR Y SEXUAL COMO VULNERACIÓN DE LOS DERECHOS HUMANOS?;Toda intervención parte del reconocimiento de que la violencia familiar o sexual es una vulneración de los derechos humanos, que requiere de medidas urgentes para su cese. Implica una actitud vigilante de defensa de los derechos de las personas y el conocimiento por parte de todas y todos los profesionales del Centro “Emergencia Mujer” del sistema nacional e internacional de protección de los derechos humanos. Está prohibida cualquier acción que propicie o favorezca la realización de acuerdos conciliatorios entre la persona afectada por la violencia y el agresor, así como el amparo de tradiciones, costumbres o criterios religiosos que permitan o toleren forma alguna de violencia. La prioridad del profesional o la profesional es la protección y seguridad de la víctima para la defensa de sus derechos.
¿EN QUÉ CONSISTE EL PRINCIPIO DE VIOLENCIA FAMILIAR Y SEXUAL SON EXPRESIÓN DE LA DESIGUALDAD DE GÉNERO Y LA DISCRIMINACIÓN HACIA LAS MUJERES?;La violencia contra las niñas y mujeres es producto de la construcción social de las relaciones entre hombres y mujeres, aprendidas a través del proceso de socialización y a partir de la cual se genera una situación de desigualdad y discriminación de las mujeres, en las distintas esferas. “A través de este enfoque, es posible explicar la alta incidencia de la violencia ejercida contra las mujeres y comprender que toda violencia de género es parte de un amplio fenómeno cristalizado en la cultura y en los modelos y representaciones mentales que tienen de ella los individuos que la conforman”. El o la profesional debe reconocer los estereotipos, prejuicios y desigualdades de género en su intervención y dirigir sus acciones a denunciar y corregir dicha realidad.
¿EN QUÉ CONSISTE EL PRINCIPIO DE VIOLENCIA FAMILIAR Y SEXUAL SON UN PROBLEMA DE SALUD PÚBLICA?;La violencia tiene graves consecuencias para la salud y constituye una seria amenaza para la vida e integridad de quienes la sufren. La evaluación de riesgo permite identificar diversas características, factores o condiciones que favorecen o aumentan las probabilidades de que se produzcan hechos de violencia familiar o sexual. En virtud a ello, los y las profesionales del servicio deben valorar el nivel de riesgo en el que se encuentra la persona afectada, para adecuar sus acciones a las necesidades y prioridades de las mismas. La intervención en los casos de riesgo tiene como objetivo prioritario detener el daño y minimizar las consecuencias de la violencia.
¿EN QUÉ CONSISTE EL PRINCIPIO DE MULTICAUSALIDAD DE LA VIOLENCIA REQUIERE DE UN ABORDAJE INTERSECTORIAL?;Implica la coordinación permanente con autoridades y operadores de los sectores Salud, Justicia, Educación e Interior, así como el Ministerio Público y el Poder Judicial, a fin de garantizar una intervención oportuna, eficaz y de calidad. En los casos en los que se adviertan irregularidades, abuso o incumplimiento de funciones por parte de cualquier autoridad o prestador de un servicio, los profesionales del CEM deben formular la denuncia o queja correspondiente.
¿EN QUÉ CONSISTE EL PRINCIPIO DE ABORDAJE INTERDISCIPLINARIO DE LOS CASOS?;El servicio aborda los casos de manera interdisciplinaria dada la complejidad de la problemática de la violencia. La intervención interdisciplinaria implica que cada profesional comparta información, discuta estrategias y planifique acciones de manera conjunta para contribuir a la protección, el acceso a la justicia y la recuperación de la persona afectada por hechos de violencia. Presupone que cada profesional defina sus acciones de intervención específica a partir de la interacción con las y los otros.
¿EN QUÉ CONSISTE EL PRINCIPIO DE NO REVICTIMIZACIÓN?;La intervención de las y los profesionales del CEM no debe en ningún caso exponer a la persona afectada por hechos de violencia al trauma emocional que implica el relato reiterado de los hechos de violencia, las esperas prolongadas o las preguntas y comentarios que juzgan, culpabilizan o afectan su intimidad. El CEM no debe incorporar prácticas o acciones que impliquen la descripción repetida e innecesaria de la experiencia de violencia por parte de la persona afectada. Asimismo debe identificar y denunciar las prácticas que impliquen a los operadores de justicia en la revictimización.
¿EN QUÉ CONSISTE EL PRINCIPIO DE ATENCIÓN OPORTUNA?;La atención oportuna e inmediata constituye un deber de las y los profesionales del servicio. En tal sentido, la intervención profesional debe realizarse de acuerdo a la urgencia o riesgo detectado para la integridad de la persona afectada.
¿EN QUÉ CONSISTE EL PRINCIPIO DE INTERCULTURALIDAD Y EL RESPETO A LA DIGNIDAD?;Las y los profesionales del CEM deben considerar el respeto de la condición sociocultural, así como las convicciones personales y morales de las personas afectadas por la violencia. Sin embargo, brinda información y orientación dirigida a desechar mitos, prejuicios y prácticas contrarias a los Derechos Humanos. De este modo se reconoce y respeta los sistemas de vida y manifestaciones de las diversas culturas para la intervención en violencia, considerando el irrestricto respeto de los derechos humanos.
¿EN QUÉ CONSISTE EL PRINCIPIO DE CONFIDENCIALIDAD Y RESERVA DE LA INFORMACIÓN?;Las y los profesionales deben guardar reserva respecto de la información que revela la usuaria. No podrán revelar, entregar o poner a disposición de terceros la documentación e información relativa a los casos, salvo que se requiera para la defensa y protección de la persona afectada o lo solicite la autoridad judicial.
¿CUÁLES SON LOS DERECHOS DE LAS PERSONAS AFECTADAS POR HECHOS DE VIOLENCIA?;"•	Derecho a no ser discriminada/o por razones de género, etnia, edad, cultura u orientación sexual. 
•	Derecho que se le brinde una atención especializada y adecuada a sus necesidades. 
•	Derecho a un trato digno, con respeto, comprensión y sensibilidad. 
•	Derecho a recibir información y orientación comprensible y adecuada a cargo de profesionales especializadas/os. Dicha información comprende las disposiciones establecidas en la Ley relativas a la protección y defensa de sus derechos y los recursos o servicios a los que puede acudir para su recuperación. 
•	Derecho a recibir información completa, veraz y oportuna que permita la toma de decisiones informada. Se debe brindar la información y recursos de afronte necesarios para que la persona afectada por hechos de violencia pueda tomar decisiones respecto a su problemática. Es importante respetar la autonomía. La/el profesional debe tener en cuenta que a muchas personas no les resulta fácil alejarse de una relación violenta y a pesar de la información recibida, es posible que no tomen la decisión de denunciar a su agresor o abandonarlo. En este caso, se limita a explicar con claridad las alternativas de solución para su problemática y a poner a su alcance los recursos necesarios para afrontar la situación de violencia. 
•	Derecho a la defensa jurídica gratuita, especializada e inmediata. 
•	Derecho a recibir orientación y consejería psicológica, si lo requiere. 
•	Derecho a una atención oportuna de acuerdo a su necesidad y al riesgo en que se encuentra, en forma inmediata y con calidad. 
•	Derecho a que se preserve en todo momento la intimidad y la confidencialidad de la información que brinde y de los datos que pudieran permitir su identificación y localización. En muchos casos las personas afectadas consideran la violencia como un tema vergonzoso, que afecta su intimidad personal, por lo que se debe garantizar la reserva sobre su caso, con excepción de los casos de violación sexual contra niños y niñas, en los que la denuncia es imperativa. El personal toma las acciones necesarias para que las entrevistas se lleven a cabo en un ambiente de privacidad. Sólo se brinda información acerca de los casos a solicitud de la autoridad judicial. 
•	Derecho a no relatar los hechos de violencia en forma reiterada. 
•	Derecho a recibir información completa y oportuna sobre su salud sexual y reproductiva: prevención de embarazo no deseado y de infecciones de transmisión sexual, así como acceso a medios de anticoncepción oral de emergencia y antirretrovirales."
¿QUIÉNES PUEDEN DENUNCIAR UN HECHO DE VIOLENCIA INTRAFAMILIAR?;"•	La persona agraviada. 
•	La Defensoría del Pueblo. 
•	Cualquier persona que conozca los hechos de violencia"
¿A DÓNDE SE DEBE ACUDIR PARA PRESENTAR UNA DENUNCIA DE VIOLENCIA INTRAFAMILIAR?;"•	Policía Nacional del Perú – PNP: En cualquier comisaría de la jurisdicción.
•	Juzgados: Juzgados de Familia, Juzgados Mixtos o Juzgados de Paz 
•	Ministerio Público: En el caso de niñas, niños y adolescentes (Art. 144 del Código de los niños y los adolescentes)."
¿QUÉ DERECHOS ASISTEN EN EL PROCESO LUEGO DE INTERPONER LA DENUNCIA DE VIOLENCIA INTRAFAMILIAR?;"Tienes derecho:
•	A ser tratado/a con respeto en todas las instancias públicas o privadas inmersas en la ruta de atención. 
•	A que el personal de la PNP reciba tu denuncia y la remita al Poder Judicial en 24 horas
•	A que el/la juez/a te otorgue medidas de protección y/o cautelares a más tardar en 72 horas después de haber recibido tu denuncia y remite tu expediente a la Fiscalía Penal.
•	A que la persona agresora sea detenido en el momento o dentro de las 24 horas en que ocurrieron los hechos, en caso de flagrancia, incluso con allanamiento del domicilio. 
•	A que la PNP te brinde un número telefónico disponible las 24 horas del día, a efectos de monitorear y hacer cumplir las medidas de protección dictadas por el juez/a 
•	A no ser despedida/o de tu trabajo, al cambio de lugar de trabajo, a la justificación de inasistencias y tardanzas por causas relacionadas a los actos de violencia. 
•	Al cambio de lugar y horario de estudios, a la justificación de inasistencias, tardanzas y a la atención especializada ante las secuelas derivadas de los actos de violencia."
¿QUÉ SE DEBE HACER SI NO ACEPTAN MI DENUNCIA DE VIOLENCIA INTRAFAMILIAR?;Si no aceptan tu denuncia, no te otorgan una medida de protección o percibes retraso en tu proceso, DENUNCIA ante la Defensoría del Pueblo (Línea Gratuita 0800-15-170), Inspectoría de la PNP (Línea Gratituta 0800- 47522), la Oficina de Control de la Magistratura OCMA (Línea Gratuita Aló OCMA 0800-1212-1), la Fiscalía Suprema de Control Interno (Línea 625- 5555) o al Ministerio de la Mujer y Poblaciones Vulnerables (Línea 100).
¿QUÉ SE DEBE CONSIDERAR AL MOMENTO DE DENUNCIAR VIOLENCIA INTRAFAMILIAR?;"•	Tener una copia del DNI en un lugar seguro, partida de matrimonio, partida de nacimiento de los/as niños/as, título de propiedad o certificado de posesión, inventario de bienes adquiridos, denuncias anteriores o escritos de procesos previos. 
•	Recabar documentación que pruebe los hechos de violencia (examen médico legista, recetas médicas, pericias psicológicas, entre otros). 
•	Recabar evidencias que acrediten los hechos de violencia (fotos, datos de testigos, grabaciones, mensajes de texto y de redes sociales, entre otros). 
•	Sacar duplicado de las llaves y dejárselas a un familiar o a una persona de confianza.
•	Te recomendamos acudir a los servicios del MIMP: Centro Emergencia Mujer más cercano, a fin de que te brinden orientación psicológica, legal, social y defensa judicial. También puedes comunicarte a la Línea 100 o al Chat 100.
•	No asistas a ninguna cita o encuentro que te proponga la persona agresora porque pones tu vida en peligro."
¿CUÁL ES EL OBJETIVO PRINCIPAL DEL PLAN DE ACCIÓN CONJUNTO PARA PREVENIR LA VIOLENCIA CONTRA LAS MUJERES?;El Plan de Acción Conjunto para prevenir la violencia contra las mujeres tiene como objetivo principal prevenir la violencia contra las mujeres y brindar protección y atención a las víctimas, con un énfasis especial en los casos de alto riesgo. Este plan incluye acciones concretas y urgentes para mejorar el acceso a la justicia, la atención en salud, la protección policial y la sensibilización comunitaria, entre otros aspectos. 
¿QUÉ ENTIDADES ESTÁN INVOLUCRADAS EN LA EJECUCIÓN DEL PLAN DE ACCIÓN CONJUNTO PARA PREVENIR LA VIOLENCIA CONTRA LAS MUJERES?;"El Plan de Acción Conjunto 2019 para prevenir la violencia contra las mujeres y brindar protección y atención a las víctimas involucra a varias entidades públicas. Entre ellas se encuentran:
•	Ministerio de Justicia y Derechos Humanos
•	Ministerio de Salud
•	Ministerio del Interior
•	Ministerio de Educación
•	Ministerio de Desarrollo e Inclusión Social
•	Ministerio de Cultura
•	Ministerio de la Mujer y Poblaciones Vulnerables
•	Ministerio de Economía y Finanzas
•	Poder Judicial
•	Ministerio Público
•	Defensoría del Pueblo
Estas entidades son responsables de ejecutar las acciones y metas establecidas en el plan."
¿CUÁLES SON LOS LINEAMIENTOS ESTRATÉGICOS MENCIONADOS EN EL PLAN?;"El plan menciona cuatro lineamientos estratégicos principales:
•	Sistema Especializado de Justicia: Implementar un sistema especializado para la protección y sanción de la violencia contra las mujeres.
•	Protección a Víctimas: Proteger a mujeres, niños, niñas y adolescentes víctimas de violencia.
•	Prevención Integral: Prevenir la violencia contra niñas, niños, adolescentes y mujeres.
•	Fortalecimiento del Sistema Nacional: Fortalecer el sistema nacional para la prevención, sanción y erradicación de la violencia contra las mujeres y los integrantes del grupo familiar."
¿QUÉ MEDIDAS ESPECÍFICAS SE HAN IMPLEMENTADO PARA LA PROTECCIÓN DE MUJERES Y NIÑAS INDÍGENAS?;"El Plan de Acción Conjunto para el año 2019 incluye varias medidas específicas para la protección de mujeres y niñas indígenas:
•	Enfoque Intercultural: Publicación de lineamientos interculturales para servicios de prevención y atención de la violencia sexual hacia mujeres indígenas.
•	Capacitación: Formación de 150 líderes y lideresas de organizaciones indígenas en prevención y atención de la violencia sexual.
•	Sistema Local de Protección: Creación de un sistema local de protección en comunidades indígenas de Imaza.
•	Materiales Comunicacionales: Distribución de materiales para la prevención de la violencia sexual en comunidades awajún de Amazonas.
Estas acciones buscan asegurar que los servicios públicos sean culturalmente adecuados y efectivos."
¿CUÁL ES EL IMPACTO DE LA VIOLENCIA INTRAFAMILIAR EN LOS NIÑOS QUE SON TESTIGOS DE ESTOS CASOS?;"•	Problemas emocionales y psicológicos: Experimentan altos niveles de estrés, ansiedad, miedo y depresión. 
•	Dificultades del comportamiento: Los niños a menudo exhiben comportamientos agresivos, problemas en la escuela, de disciplina, mostrando un bajo rendimiento académico.
•	Aislamiento Social: Los niños pueden aislarse socialmente, debido a la vergüenza o el miedo a revelar la situación de su hogar
•	Baja Autoestima: Pueden sentirse inútiles, culpables o responsables de la violencia, lo que afecta su autoimagen y confianza en sí mismos."
¿QUÉ PAPEL JUEGAN LAS INSTITUCIONES EDUCATIVAS EN LA IDENTIFICACIÓN Y APOYO A VÍCTIMAS DE VIOLENCIA INTRAFAMILIAR?;"•	Detección Temprana y Referencia:
o	Observación de cambios en el comportamiento de los estudiantes.
o	Informes obligatorios a las autoridades si se sospecha de maltrato.

•	Apoyo Emocional y Psicológico:
o	Consejería escolar para ayudar a los estudiantes a procesar sus experiencias.
o	Grupos de apoyo para compartir y recibir apoyo emocional.

•	Educación y Concienciación: 
o	Programas educativos sobre violencia intrafamiliar y relaciones saludables.
o	Capacitación para el personal escolar en reconocimiento y respuesta a señales de violencia.

•	Creación de un Entorno Seguro:
o	Políticas de tolerancia cero hacia el acoso y la violencia.
o	Espacios seguros para que los estudiantes hablen y busquen ayuda.

•	Intervención y Colaboración:
o	Colaboración con servicios sociales y agencias de protección infantil.
o	Ayuda en la planificación de seguridad para estudiantes y familias.

•	Apoyo a las Familias:
o	Programas y talleres para padres sobre manejo del estrés y crianza positiva.
o	Acceso a servicios de asesoramiento familiar para resolver conflictos"
¿DE QUÉ MANERA PUEDE LA LEGISLACIÓN INFLUIR EN LA PREVENCIÓN Y EL TRATAMIENTO DE LA VIOLENCIA INTRAFAMILIAR?;"•	Definición y Reconocimiento: Clarificar qué es la violencia intrafamiliar y reconocer a todas las víctimas.

•	Protección y Seguridad: Emitir órdenes de protección y financiar refugios.

•	Denuncia y Procedimientos Legales: Facilitar la denuncia y asegurar acceso a justicia para las víctimas.

•	Prevención y Educación: Financiar programas educativos y capacitar a profesionales.

•	Tratamiento y Rehabilitación: Proveer apoyo psicológico a víctimas y programas de rehabilitación para agresores.

•	Monitoreo y Evaluación: Recopilar datos y evaluar la efectividad de las leyes.

•	Coordinación Interinstitucional: Fomentar la cooperación entre diferentes sectores para un enfoque integral."
¿CUÁLES SON LOS EFECTOS A LARGO PLAZO DE LA VIOLENCIA INTRAFAMILIAR EN LA SALUD MENTAL DE LAS VÍCTIMAS?;"•	Trastornos de Ansiedad y Depresión: Las víctimas a menudo desarrollan trastornos de ansiedad y depresión debido al estrés y trauma continuos.

•	Trastorno de Estrés Postraumático (TEPT): Muchas víctimas experimentan TEPT, con síntomas como flashbacks, pesadillas y una sensación constante de peligro.
•	Baja Autoestima: El abuso continuo puede erosionar la autoestima de la víctima, haciéndola sentir inútil e incapaz.

•	Problemas de Confianza: Las experiencias traumáticas pueden dificultar que las víctimas confíen en los demás, afectando sus relaciones futuras.

•	Abuso de Sustancias: Algunas víctimas recurren al alcohol o las drogas como una forma de lidiar con el dolor emocional.

•	Problemas de Salud Física: El estrés crónico puede llevar a problemas de salud física, como enfermedades cardíacas, hipertensión y trastornos del sueño."
¿QUÉ ESTRATEGIAS PUEDEN USAR LAS PERSONAS CERCANAS A LAS VÍCTIMAS PARA BRINDARLES APOYO SIN PONERLAS EN MAYOR RIESGO?;"•	Escucha Activa y Empatía: Ser un oyente atento y mostrar comprensión sin juzgar a la víctima.

•	Ofrecer Información y Recursos: Proporcionar información sobre servicios y recursos disponibles para las víctimas.

•	Crear un Plan de Seguridad: Ayudar a la víctima a desarrollar un plan de seguridad para situaciones de emergencia.

•	Mantener la Comunicación Abierta: Estar disponible para la víctima y mantener las líneas de comunicación abiertas.

•	Respetar las Decisiones de la Víctima: Respetar las decisiones de la víctima y no presionarla para que actúe antes de estar lista.

•	No Confrontar al Abusador: Evitar confrontar directamente al abusador, ya que esto puede aumentar el riesgo para la víctima."
¿CUÁLES SON LOS DESAFÍOS COMUNES QUE ENFRENTAN LAS VÍCTIMAS DE VIOLENCIA INTRAFAMILIAR AL INTENTAR SALIR DE UNA SITUACIÓN ABUSIVA?;"•	Dependencia Financiera: La falta de independencia económica puede dificultar que las víctimas dejen al abusador.

•	Miedo a Represar: Temor a represalias físicas o emocionales por parte del abusador.

•	Aislamiento Social: El aislamiento de amigos y familiares puede dejar a las víctimas sin una red de apoyo.

•	Custodia de los Hijos: Preocupaciones sobre la custodia de los hijos y el bienestar de estos.

•	Falta de Refugios y Recursos: La falta de acceso a refugios seguros y recursos de apoyo.

•	Presiones Culturales y Sociales: Normas culturales y sociales que pueden desalentar a las víctimas de buscar ayuda."
¿DE QUÉ MANERA PUEDE LA TECNOLOGÍA SER UTILIZADA PARA PREVENIR Y RESPONDER A LA VIOLENCIA INTRAFAMILIAR?;"•	Aplicaciones de Seguridad: Aplicaciones móviles que permiten a las víctimas alertar a amigos o autoridades en caso de emergencia.
•	Líneas de Ayuda y Chats en Línea: Servicios en línea que proporcionan apoyo y asesoramiento inmediato a las víctimas.
•	Educación y Concienciación en Línea: Plataformas de educación en línea que informan sobre la violencia intrafamiliar y cómo buscar ayuda.
•	Monitoreo y Vigilancia: Dispositivos de monitoreo que pueden usarse para proteger a las víctimas y rastrear a los abusadores.
•	Redes de Apoyo Virtuales: Grupos de apoyo en línea donde las víctimas pueden compartir experiencias y recibir apoyo.
•	Recolección de Evidencias: Herramientas tecnológicas que ayudan a documentar y recopilar pruebas de abuso para procedimientos legales."
¿CUÁLES SON LOS INDICADORES DE RIESGO DE LA VIOLENCIA INTRAFAMILIAR?;"Los indicadores de riesgo de violencia intrafamiliar pueden incluir:
•	Aislamiento social de la víctima.
•	Control excesivo sobre las actividades de la víctima.
•	Cambios en el comportamiento o en el estado emocional de la víctima.
•	Historias previas de violencia en la familia.
•	Uso o abuso de alcohol y drogas por parte del agresor."
¿QUÉ EFECTOS TIENE LA VIOLENCIA INTRAFAMILIAR EN LOS NIÑOS?;"Los niños que son testigos o víctimas de violencia intrafamiliar pueden experimentar:
•	Problemas de salud mental como ansiedad y depresión.
•	Dificultades en el desarrollo cognitivo y académico.
•	Problemas de comportamiento como agresividad o retraimiento.
•	Mayor riesgo de convertirse en víctimas o perpetradores de violencia en el futuro."
¿CUÁLES SON LOS SERVICIOS PARA ATENDER CASOS DE VIOLENCIA CONTRA LAS MUJERES E INTEGRANTES DEL GRUPO FAMILIAR?;"Si eres mujer o formas parte de un grupo familiar y te encuentras en situación de violencia, puedes solicitar apoyo al Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) en todo el territorio peruano, de acuerdo con lo dispuesto en la Ley N.° 30364, Ley para prevenir, sancionar y erradicar la violencia contra las mujeres y los integrantes del grupo familiar.
A través del Programa Nacional para la Prevención y Erradicación de la Violencia contra las Mujeres e Integrantes del Grupo Familiar - Aurora, se diseñan y ejecutan acciones y políticas de atención, prevención y apoyo a las personas involucradas en hechos de violencia familiar y sexual, contribuyendo así a mejorar la calidad de vida de la población. Entre los servicios que te ofrece están:
•	Centro de Atención Institucional (CAI): Contribuye al cese de la conducta violenta de hombres sentenciados por violencia contra su pareja o que se encuentren en proceso de sanción, a través de la reeducación de sus creencias y percepciones sobre las mujeres. Se cuenta con 6 CAI en 5 regiones del país.
•	Asistencia Económica (AE): Es un apoyo económico destinado a los hijos de las víctimas de feminicidio. Así, se contribuye a su desarrollo integral y a sus proyectos de vida. La población beneficiaria comprende niñas, niños o adolescentes, personas mayores de 18 años que estén realizando estudios superiores de manera satisfactoria y personas con discapacidad. Si deseas más información puedes escribir al correo electrónico asistenciaeconomica@aurora.gob.pe.
•	Servicio de Atención Rural (SAR): Facilita el acceso a la justicia, así como la atención, la prevención y la protección de personas afectadas por violencia en ámbitos rurales y en pueblos indígenas. Asimismo, fortalece las capacidades de las autoridades, las lideresas, los líderes y la organización comunitaria para el abordaje integral frente a la problemática. Actualmente, se cuenta con 62 equipos de SAR que, mediante su oferta fija e itinerante, intervienen en 271 comunidades, 48 provincias y 23 regiones del país.
•	Servicio de Atención Urgente (SAU): Brinda atención a las víctimas de violencia donde se encuentren o hayan sucedido los hechos, especialmente si están en riesgo moderado o severo, a fin de contribuir con el acceso a la justicia, protección y recuperación. Para ello despliega acciones de articulación con otras áreas del Ministerio de la Mujer y Poblaciones Vulnerables (MIMP) o las instituciones del Estado. Existen 8 SAU a nivel nacional, ubicados en las regiones de Lima, Arequipa, Huánuco, Cusco, La Libertad, Puno, Madre de Dios y Ayacucho.
•	Línea 100: Brinda información, orientación, consejería y soporte emocional en quechua, aimara y castellano para las personas afectadas por hechos de violencia contra las mujeres y los integrantes del grupo familiar o que conozcan un caso. La llamada es gratuita al número 100, desde un teléfono fijo o celular desde cualquier parte del país. La Línea 100 funciona las 24 horas, todos los días de la semana.
•	Centros Emergencia Mujer (CEM): Son servicios públicos especializados y gratuitos, de atención integral y multidisciplinaria, para víctimas de violencia contra las mujeres y los integrantes del grupo familiar y personas afectadas por violencia sexual. Permite acceder a asesoría legal, contención emocional y apoyo social a nivel nacional. En todo el Perú, los 245 CEM regulares y un CEM en centro de salud (Santa Julia, Piura) atienden de lunes a viernes de 8:00 a. m. a 4:15 p. m., y los 185 CEM en comisarías, las 24 horas del día, los 365 días del año. Si deseas más información puedes llamar a la central telefónica (01) 4197260.
•	Chat 100: Servicio personalizado por internet y en tiempo real, donde profesionales especializados brindan información y orientación psicológica para identificar situaciones de riesgo de violencia en las relaciones de enamoramiento y noviazgo. También, cuenta con especialistas que velan por la igualdad para la atención a varones. El Chat 100 es confidencial y se encuentra disponible las 24 horas.
•	Hogar de Refugio Temporal (HRT): Son espacios seguros y temporales que brindan protección, albergue, alimentación y atención integral (servicio de psicología, trabajo social, tópico-enfermería, educadora, acompañamiento permanente y talleres productivos) a mujeres víctimas de violencia de género, especialmente aquellas en situación de riesgo de feminicidio o peligre su integridad o salud física o mental, así como para sus hijas e hijos. Actualmente existen 23 HRT en 18 regiones del país."
¿CÓMO PUEDE INTERVENIR UN TERCERO EN CASOS DE VIOLENCIA INTRAFAMILIAR?;"Un tercero puede intervenir en casos de violencia intrafamiliar de las siguientes maneras:
•	Llamando a las autoridades (policía) si se presencia un acto de violencia.
•	Ofreciendo apoyo y recursos a la víctima.
•	Reportando la situación a servicios sociales o instituciones especializadas.
•	Acompañando a la víctima en el proceso de denuncia y búsqueda de ayuda."
¿QUÉ PAPEL JUEGAN LAS POLÍTICAS PÚBLICAS EN LA LUCHA CONTRA LA VIOLENCIA INTRAFAMILIAR?;"Las políticas públicas son cruciales en la lucha contra la violencia intrafamiliar y pueden incluir:
•	Legislación específica que proteja a las víctimas y penalice a los agresores.
•	Programas de prevención y educación sobre violencia de género.
•	Servicios integrales de apoyo a las víctimas, incluyendo refugios y asistencia legal.
•	Campañas de sensibilización para cambiar normas y comportamientos sociales."
¿QUÉ MEDIDAS PUEDEN TOMAR LAS EMPRESAS PARA APOYAR A EMPLEADOS QUE SON VÍCTIMAS DE VIOLENCIA INTRAFAMILIAR?;"Las empresas pueden apoyar a empleados víctimas de violencia intrafamiliar mediante:
•	Proporcionando políticas de licencia y tiempo libre remunerado para que las víctimas puedan asistir a citas médicas o legales.
•	Ofreciendo acceso a programas de asistencia para empleados (EAP).
•	Implementando capacitaciones y talleres sobre violencia de género y recursos disponibles.
•	Creando un ambiente de trabajo seguro y de apoyo donde los empleados se sientan cómodos buscando ayuda."
